Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,Inter Crop,price,Season,Land Size,Previous Crop,Crop Rotation Score,N,P,K,pH,Fertilizer,Soil Health Score
2012,Davangere,11841,2903.1,206,Black,Drip,71,53,Blackgram,Groundnut,4847,Zaid,2,Pepper,2,260.9,20.6,281,7.26,SSP (Single Super Phosphate),8
2012,Davangere,11841,2903.1,206,Black,Drip,71,53,Blackgram,Green gram,4847,Zaid,2,Arecanut,2,241.3,21.8,292.6,7.51,SSP (Single Super Phosphate),7.99
2012,Davangere,11841,2903.1,206,Black,Drip,71,53,Blackgram,Sorghum,4847,Zaid,2,Tea,2,276.3,19.5,296.4,7.65,SSP (Single Super Phosphate),7.25
2013,Davangere,50975,2903.1,207,Black,Drip,3961,53.5,Blackgram,Groundnut,51239,Zaid,2,Arecanut,2,249.2,18.5,291.6,7.3,SSP (Single Super Phosphate),8
2013,Davangere,50975,2903.1,207,Black,Drip,3961,53.5,Blackgram,Green gram,51239,Zaid,2,Pepper,2,277.2,22.8,305.3,7.72,SSP (Single Super Phosphate),7.78
2013,Davangere,50975,2903.1,207,Black,Drip,3961,53.5,Blackgram,Sorghum,51239,Zaid,2,Tea,2,272.1,19.1,315.7,7.52,SSP (Single Super Phosphate),7.38
2014,Davangere,206,2903.1,208,Black,Drip,4247,52.5,Blackgram,Groundnut,216396,Zaid,2,Paddy,2,272.3,23.4,292.7,7.27,SSP (Single Super Phosphate),8
2014,Davangere,206,2903.1,208,Black,Drip,4247,52.5,Blackgram,Green gram,216396,Zaid,2,Ginger,2,249.1,20.6,312.7,7.72,SSP (Single Super Phosphate),7.78
2014,Davangere,206,2903.1,208,Black,Drip,4247,52.5,Blackgram,Sorghum,216396,Zaid,2,Arecanut,2,240.3,21.1,296.7,7.33,SSP (Single Super Phosphate),7.4
2015,Davangere,10922,2996.6,209,Black,Drip,3290,56,Blackgram,Groundnut,2644,Zaid,2,Coffee,2,244.8,20,317.7,7.39,SSP (Single Super Phosphate),8
2015,Davangere,10922,2996.6,209,Black,Drip,3290,56,Blackgram,Green gram,2644,Zaid,2,Tea,2,260.8,22.2,294.5,7.78,SSP (Single Super Phosphate),7.72
2015,Davangere,10922,2996.6,209,Black,Drip,3290,56,Blackgram,Sorghum,2644,Zaid,2,Groundnut,1,278.5,19.5,299.9,7.38,FYM (Farm Yard Manure) + SSP (Single Super Phosphate),6.4
2016,Davangere,51390,2996.6,210,Black,Drip,3138,59.5,Blackgram,Groundnut,44235,Zaid,2,Ginger,2,251.4,18.2,304.4,7.5,SSP (Single Super Phosphate),8
2016,Davangere,51390,2996.6,210,Black,Drip,3138,59.5,Blackgram,Green gram,44235,Zaid,2,Coffee,2,242.1,19.7,316.3,7.34,SSP (Single Super Phosphate),8
2016,Davangere,51390,2996.6,210,Black,Drip,3138,59.5,Blackgram,Sorghum,44235,Zaid,2,Cotton,2,245.8,20.9,319.4,7.35,SSP (Single Super Phosphate),7.4
2017,Davangere,177,2996.6,211,Black,Drip,3423,55,Blackgram,Groundnut,203317,Zaid,2,Cotton,2,266.9,22.6,289.5,7.64,SSP (Single Super Phosphate),7.86
2017,Davangere,177,2996.6,211,Black,Drip,3423,55,Blackgram,Green gram,203317,Zaid,2,Coconut,2,254.7,21.8,305.3,7.52,SSP (Single Super Phosphate),7.98
2017,Davangere,177,2996.6,211,Black,Drip,3423,55,Blackgram,Sorghum,203317,Zaid,2,Cotton,2,243.6,23,292.8,7.31,SSP (Single Super Phosphate),7.4
2018,Davangere,326,233,197,Black,Spray,836,57,Blackgram,Groundnut,637,Zaid,2,Coconut,2,241.6,21.5,307.1,7.21,SSP (Single Super Phosphate),8
2018,Davangere,326,233,197,Black,Spray,836,57,Blackgram,Green gram,637,Zaid,2,Coconut,2,260.5,19.4,305.8,7.3,SSP (Single Super Phosphate),8
2018,Davangere,326,233,197,Black,Spray,836,57,Blackgram,Sorghum,637,Zaid,2,Cocoa,2,267.6,20.3,317.5,7.28,SSP (Single Super Phosphate),7.4
2004,Davangere,51040,3360,222,Sandy Loam,Drip,393,58,Cashew,Groundnut,43311,Zaid,3,Ginger,3,173.6,14.7,217,6.9,NPK 10-26-26,8.44
2004,Davangere,51040,3360,222,Sandy Loam,Drip,393,58,Cashew,Blackgram,43311,Zaid,3,Paddy,2,170.3,18,212.7,6.64,NPK 10-26-26,7.65
2004,Davangere,51040,3360,222,Sandy Loam,Drip,393,58,Cashew,Sesame,43311,Zaid,3,Cocoa,3,181.2,15.5,183.7,6.92,NPK 10-26-26,7.76
2004,Davangere,51040,3360,222,Sandy Loam,Drip,393,58,Cashew,Coconut,43311,Zaid,3,Coffee,3,196,17.8,193.6,6.48,NPK 10-26-26,8.46
2005,Davangere,154,3360,27,Sandy Loam,Drip,167,58,Cashew,Groundnut,24848,Zaid,3,Arecanut,1,189,19.4,215.5,6.82,FYM (Farm Yard Manure) + NPK 10-26-26,6.86
2005,Davangere,154,3360,27,Sandy Loam,Drip,167,58,Cashew,Blackgram,24848,Zaid,3,Cotton,2,185.7,14.5,186.5,6.92,NPK 10-26-26,7.34
2005,Davangere,154,3360,27,Sandy Loam,Drip,167,58,Cashew,Sesame,24848,Zaid,3,Tea,2,184.3,14.1,184.1,6.73,NPK 10-26-26,6.67
2005,Davangere,154,3360,27,Sandy Loam,Drip,167,58,Cashew,Coconut,24848,Zaid,3,Cotton,2,160.2,15,201.9,6.75,NPK 10-26-26,6.93
2006,Davangere,10318,3605.4,27,Sandy Loam,Drip,71,59,Cashew,Groundnut,761,Zaid,3,Arecanut,1,186.1,15.3,208.5,6.39,FYM (Farm Yard Manure) + NPK 10-26-26,6.56
2006,Davangere,10318,3605.4,27,Sandy Loam,Drip,71,59,Cashew,Blackgram,761,Zaid,3,Ginger,3,173,18.5,206,6.88,NPK 10-26-26,8.63
2006,Davangere,10318,3605.4,27,Sandy Loam,Drip,71,59,Cashew,Sesame,761,Zaid,3,Pepper,1,186.3,17.4,183.7,6.49,FYM (Farm Yard Manure) + NPK 10-26-26,5.97
2006,Davangere,10318,3605.4,27,Sandy Loam,Drip,71,59,Cashew,Coconut,761,Zaid,3,Cardamum,2,170.6,15.5,218.9,6.51,NPK 10-26-26,7.19
2007,Davangere,48083,3605.4,27,Sandy Loam,Drip,52,50,Cashew,Groundnut,45608,Zaid,3,Tea,2,195.7,17.8,211.8,6.6,NPK 10-26-26,7.88
2007,Davangere,48083,3605.4,27,Sandy Loam,Drip,52,50,Cashew,Blackgram,45608,Zaid,3,Cardamum,2,183.1,17,187.8,6.78,NPK 10-26-26,7.53
2007,Davangere,48083,3605.4,27,Sandy Loam,Drip,52,50,Cashew,Sesame,45608,Zaid,3,Blackgram,2,171.2,14.1,205.8,6.34,NPK 10-26-26,6.69
2007,Davangere,48083,3605.4,27,Sandy Loam,Drip,52,50,Cashew,Coconut,45608,Zaid,3,Cocoa,3,197.6,19.7,216.6,6.5,NPK 10-26-26,8.65
2008,Davangere,143,3605.4,27,Sandy Loam,Drip,2570,54,Cashew,Groundnut,234581,Zaid,3,Cotton,2,160.6,19.6,197.1,6.97,NPK 10-26-26,7.45
2008,Davangere,143,3605.4,27,Sandy Loam,Drip,2570,54,Cashew,Blackgram,234581,Zaid,3,Paddy,2,198.5,19.1,191.8,6.51,NPK 10-26-26,7.79
2008,Davangere,143,3605.4,27,Sandy Loam,Drip,2570,54,Cashew,Sesame,234581,Zaid,3,Cocoa,3,194,15.9,186.8,6.65,NPK 10-26-26,7.94
2008,Davangere,143,3605.4,27,Sandy Loam,Drip,2570,54,Cashew,Coconut,234581,Zaid,3,Blackgram,2,197.4,18.2,202.8,6.28,NPK 10-26-26,7.56
2013,Davangere,51355,3729.8,216,Sandy Loam,Drip,4479,57,Cashew,Groundnut,57259,Zaid,3,Ginger,3,184.6,19.9,185.6,6.61,NPK 10-26-26,8.61
2013,Davangere,51355,3729.8,216,Sandy Loam,Drip,4479,57,Cashew,Blackgram,57259,Zaid,3,Cotton,2,195.1,18.4,207.9,6.76,NPK 10-26-26,7.87
2013,Davangere,51355,3729.8,216,Sandy Loam,Drip,4479,57,Cashew,Sesame,57259,Zaid,3,Blackgram,2,174.4,15.8,212.4,6.85,NPK 10-26-26,6.91
2013,Davangere,51355,3729.8,216,Sandy Loam,Drip,4479,57,Cashew,Coconut,57259,Zaid,3,Cotton,2,194.7,19.5,200.5,6.6,NPK 10-26-26,7.51
2014,Davangere,160,3729.8,217,Sandy Loam,Drip,3699,57.5,Cashew,Groundnut,234779,Zaid,3,Tea,2,191.9,17.9,208.1,6.84,NPK 10-26-26,7.83
2014,Davangere,160,3729.8,217,Sandy Loam,Drip,3699,57.5,Cashew,Blackgram,234779,Zaid,3,Ginger,3,195.6,16,195,6.28,NPK 10-26-26,8.62
2014,Davangere,160,3729.8,217,Sandy Loam,Drip,3699,57.5,Cashew,Sesame,234779,Zaid,3,Coffee,3,183.1,14.2,198.6,6.63,NPK 10-26-26,7.77
2014,Davangere,160,3729.8,217,Sandy Loam,Drip,3699,57.5,Cashew,Coconut,234779,Zaid,3,Pepper,1,171.5,17.5,181.2,6.23,FYM (Farm Yard Manure) + NPK 10-26-26,6.11
2015,Davangere,10912,2746.2,218,Sandy Loam,Drip,4904,57,Cashew,Groundnut,1493,Zaid,3,Tea,2,192.9,16.2,185.1,6.62,NPK 10-26-26,7.54
2015,Davangere,10912,2746.2,218,Sandy Loam,Drip,4904,57,Cashew,Blackgram,1493,Zaid,3,Groundnut,2,190.8,15.3,204.9,6.27,NPK 10-26-26,7.58
2015,Davangere,10912,2746.2,218,Sandy Loam,Drip,4904,57,Cashew,Sesame,1493,Zaid,3,Tea,2,162.1,17.2,201.6,6.71,NPK 10-26-26,6.83
2015,Davangere,10912,2746.2,218,Sandy Loam,Drip,4904,57,Cashew,Coconut,1493,Zaid,3,Tea,2,189,19.9,200.7,6.46,NPK 10-26-26,7.46
2016,Davangere,51709,3522.8,213,Sandy Loam,Drip,4015,53.5,Cashew,Groundnut,45186,Zaid,3,Blackgram,2,191.8,15.6,197.6,6.26,NPK 10-26-26,7.57
2016,Davangere,51709,3522.8,213,Sandy Loam,Drip,4015,53.5,Cashew,Blackgram,45186,Zaid,3,Cocoa,3,161,19.8,213.4,6.76,NPK 10-26-26,8.56
2016,Davangere,51709,3522.8,213,Sandy Loam,Drip,4015,53.5,Cashew,Sesame,45186,Zaid,3,Ginger,3,176.4,15,186.3,6.4,NPK 10-26-26,7.68
2016,Davangere,51709,3522.8,213,Sandy Loam,Drip,4015,53.5,Cashew,Coconut,45186,Zaid,3,Cocoa,3,182,18.3,206.4,6.42,NPK 10-26-26,8.43
2016,Davangere,51353,2746.2,219,Sandy Loam,Drip,2821,55,Cashew,Groundnut,64409,Zaid,3,Cocoa,3,198.2,18.4,202.2,6.69,NPK 10-26-26,8.86
2016,Davangere,51353,2746.2,219,Sandy Loam,Drip,2821,55,Cashew,Blackgram,64409,Zaid,3,Pepper,1,176.8,15.5,194.2,6.81,FYM (Farm Yard Manure) + NPK 10-26-26,6.38
2016,Davangere,51353,2746.2,219,Sandy Loam,Drip,2821,55,Cashew,Sesame,64409,Zaid,3,Cotton,2,160.6,14.7,181.8,6.23,NPK 10-26-26,6.47
2016,Davangere,51353,2746.2,219,Sandy Loam,Drip,2821,55,Cashew,Coconut,64409,Zaid,3,Cardamum,2,194.2,18.2,199,6.28,NPK 10-26-26,7.5
2017,Davangere,10723,3522.8,212,Sandy Loam,Drip,3899,53,Cashew,Groundnut,2134,Zaid,3,Pepper,1,179.7,16.8,186.9,6.55,FYM (Farm Yard Manure) + NPK 10-26-26,6.47
2017,Davangere,10723,3522.8,212,Sandy Loam,Drip,3899,53,Cashew,Blackgram,2134,Zaid,3,Groundnut,2,175.9,17.7,205.4,6.24,NPK 10-26-26,7.63
2017,Davangere,10723,3522.8,212,Sandy Loam,Drip,3899,53,Cashew,Sesame,2134,Zaid,3,Arecanut,1,175,17.8,200.1,6.89,FYM (Farm Yard Manure) + NPK 10-26-26,6
2017,Davangere,10723,3522.8,212,Sandy Loam,Drip,3899,53,Cashew,Coconut,2134,Zaid,3,Cocoa,3,186.3,15,182.8,6.71,NPK 10-26-26,8.06
2017,Davangere,146,3522.8,214,Sandy Loam,Drip,4279,52.5,Cashew,Groundnut,238542,Zaid,3,Blackgram,2,161.1,17.5,217.6,6.66,NPK 10-26-26,7.55
2017,Davangere,146,3522.8,214,Sandy Loam,Drip,4279,52.5,Cashew,Blackgram,238542,Zaid,3,Groundnut,2,175.5,17.9,198.3,6.64,NPK 10-26-26,7.6
2017,Davangere,146,3522.8,214,Sandy Loam,Drip,4279,52.5,Cashew,Sesame,238542,Zaid,3,Coffee,3,197.7,16.3,218.4,6.92,NPK 10-26-26,8.22
2017,Davangere,146,3522.8,214,Sandy Loam,Drip,4279,52.5,Cashew,Coconut,238542,Zaid,3,Tea,2,167.8,14.4,184,6.21,NPK 10-26-26,6.83
2017,Davangere,142,2746.2,220,Sandy Loam,Drip,3472,56,Cashew,Groundnut,249978,Zaid,3,Ginger,3,163.8,18.1,182.8,6.46,NPK 10-26-26,8.38
2017,Davangere,142,2746.2,220,Sandy Loam,Drip,3472,56,Cashew,Blackgram,249978,Zaid,3,Pepper,1,193.8,14.1,212.6,6.43,FYM (Farm Yard Manure) + NPK 10-26-26,6.56
2017,Davangere,142,2746.2,220,Sandy Loam,Drip,3472,56,Cashew,Sesame,249978,Zaid,3,Cocoa,3,164.7,18.2,205.2,6.9,NPK 10-26-26,7.95
2017,Davangere,142,2746.2,220,Sandy Loam,Drip,3472,56,Cashew,Coconut,249978,Zaid,3,Arecanut,1,189.4,18.8,191.3,6.34,FYM (Farm Yard Manure) + NPK 10-26-26,6.4
2018,Davangere,10910,3729.8,215,Sandy Loam,Drip,4167,56,Cashew,Groundnut,1516,Zaid,3,Blackgram,2,190,18.8,219.6,6.53,NPK 10-26-26,7.9
2018,Davangere,10910,3729.8,215,Sandy Loam,Drip,4167,56,Cashew,Blackgram,1516,Zaid,3,Cocoa,3,174.9,18.7,193.6,6.94,NPK 10-26-26,8.57
2018,Davangere,10910,3729.8,215,Sandy Loam,Drip,4167,56,Cashew,Sesame,1516,Zaid,3,Ginger,3,194.3,16.6,210,6.8,NPK 10-26-26,8.16
2018,Davangere,10910,3729.8,215,Sandy Loam,Drip,4167,56,Cashew,Coconut,1516,Zaid,3,Paddy,2,164.1,19.4,200.2,6.86,NPK 10-26-26,7.21
2018,Davangere,10505,3360,221,Sandy Loam,Drip,3647,54,Cashew,Groundnut,637,Zaid,3,Blackgram,2,172.8,19.4,195.6,6.21,NPK 10-26-26,7.56
2018,Davangere,10505,3360,221,Sandy Loam,Drip,3647,54,Cashew,Blackgram,637,Zaid,3,Paddy,2,196.2,14.5,192.8,6.96,NPK 10-26-26,7.48
2018,Davangere,10505,3360,221,Sandy Loam,Drip,3647,54,Cashew,Sesame,637,Zaid,3,Ginger,3,198,17.4,205.3,6.56,NPK 10-26-26,8.23
2018,Davangere,10505,3360,221,Sandy Loam,Drip,3647,54,Cashew,Coconut,637,Zaid,3,Tea,2,171.7,16,206.9,6.8,NPK 10-26-26,7.16
2009,Davangere,9283,3512.4,27,Sandy Loam,Drip,27170,53,Coconut,Pepper,646,Zaid,3,Coffee,2,191.7,18.7,183.6,6.6,MOP (Muriate of Potash),7.07
2009,Davangere,9283,3512.4,27,Sandy Loam,Drip,27170,53,Coconut,Cocoa,646,Zaid,3,Groundnut,1,162.3,17.3,197.7,6.91,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.11
2009,Davangere,9283,3512.4,27,Sandy Loam,Drip,27170,53,Coconut,Banana,646,Zaid,3,Tea,1,174,14.7,185.7,6.81,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.63
2009,Davangere,9283,3512.4,27,Sandy Loam,Drip,27170,53,Coconut,Ginger,646,Zaid,3,Cardamum,2,184.7,14.6,183.4,6.76,MOP (Muriate of Potash),6.71
2009,Davangere,9283,3512.4,27,Sandy Loam,Drip,27170,53,Coconut,Cardamum,646,Zaid,3,Tea,1,162.9,18.9,208.2,6.27,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.95
2010,Davangere,47200,3512.4,27.2,Sandy Loam,Drip,114744,59.5,Coconut,Pepper,43562,Rabi,3,Cashew,1,163.4,19.9,195,6.5,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.86
2010,Davangere,47200,3512.4,27.2,Sandy Loam,Drip,114744,59.5,Coconut,Cocoa,43562,Rabi,3,Pepper,1,192.5,19.7,219.4,6.8,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.62
2010,Davangere,47200,3512.4,27.2,Sandy Loam,Drip,114744,59.5,Coconut,Banana,43562,Rabi,3,Cocoa,2,175.1,14.5,211.1,6.65,MOP (Muriate of Potash),6.8
2010,Davangere,47200,3512.4,27.2,Sandy Loam,Drip,114744,59.5,Coconut,Ginger,43562,Rabi,3,Ginger,2,177,19.4,184.4,6.59,MOP (Muriate of Potash),6.93
2010,Davangere,47200,3512.4,27.2,Sandy Loam,Drip,114744,59.5,Coconut,Cardamum,43562,Rabi,3,Coffee,2,160.5,16.8,182.3,6.3,MOP (Muriate of Potash),6.65
2011,Davangere,158,3512.4,27.2,Sandy Loam,Drip,1402,55,Coconut,Pepper,200000,Rabi,3,Ginger,2,164.7,17.9,209.8,6.67,MOP (Muriate of Potash),6.97
2011,Davangere,158,3512.4,27.2,Sandy Loam,Drip,1402,55,Coconut,Cocoa,200000,Rabi,3,Coffee,2,198.5,16.2,191.4,6.89,MOP (Muriate of Potash),7.34
2011,Davangere,158,3512.4,27.2,Sandy Loam,Drip,1402,55,Coconut,Banana,200000,Rabi,3,Coffee,2,168.9,19.8,180.5,6.98,MOP (Muriate of Potash),6.82
2011,Davangere,158,3512.4,27.2,Sandy Loam,Drip,1402,55,Coconut,Ginger,200000,Rabi,3,Cocoa,2,161.7,19.3,201.1,6.99,MOP (Muriate of Potash),6.89
2011,Davangere,158,3512.4,27.2,Sandy Loam,Drip,1402,55,Coconut,Cardamum,200000,Rabi,3,Pepper,1,163,17.3,218.8,6.62,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.96
2012,Davangere,8982,3296,27.2,Sandy Loam,Drip,23456,53,Coconut,Pepper,4847,Rabi,3,Cardamum,2,185.2,18.2,198.2,6.7,MOP (Muriate of Potash),7.1
2012,Davangere,8982,3296,27.2,Sandy Loam,Drip,23456,53,Coconut,Cocoa,4847,Rabi,3,Coffee,2,183.4,19.4,181.8,6.42,MOP (Muriate of Potash),7.27
2012,Davangere,8982,3296,27.2,Sandy Loam,Drip,23456,53,Coconut,Banana,4847,Rabi,3,Ginger,2,198,19.3,198.2,6.7,MOP (Muriate of Potash),7.23
2012,Davangere,8982,3296,27.2,Sandy Loam,Drip,23456,53,Coconut,Ginger,4847,Rabi,3,Cashew,1,171.1,15.1,198.5,6.48,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.72
2012,Davangere,8982,3296,27.2,Sandy Loam,Drip,23456,53,Coconut,Cardamum,4847,Rabi,3,Groundnut,1,183.3,14.5,219,6.99,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.93
2013,Davangere,46990,3296,27,Sandy Loam,Drip,107809,53.5,Coconut,Pepper,51239,Rabi,3,Cotton,1,187.9,17.2,192.4,6.85,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.02
2013,Davangere,46990,3296,27,Sandy Loam,Drip,107809,53.5,Coconut,Cocoa,51239,Rabi,3,Blackgram,1,187.4,15,216.4,6.86,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.3
2013,Davangere,46990,3296,27,Sandy Loam,Drip,107809,53.5,Coconut,Banana,51239,Rabi,3,Ginger,2,198,18.4,204.5,6.53,MOP (Muriate of Potash),7.27
2013,Davangere,46990,3296,27,Sandy Loam,Drip,107809,53.5,Coconut,Ginger,51239,Rabi,3,Ginger,2,197.3,19.2,181.8,6.22,MOP (Muriate of Potash),7.11
2013,Davangere,46990,3296,27,Sandy Loam,Drip,107809,53.5,Coconut,Cardamum,51239,Rabi,3,Cocoa,2,175.1,18.9,219.5,6.32,MOP (Muriate of Potash),7.15
2014,Davangere,103,3296,27,Sandy Loam,Drip,1132,52.5,Coconut,Pepper,216396,Rabi,3,Groundnut,1,183.8,16.3,218.8,6.87,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.09
2014,Davangere,103,3296,27,Sandy Loam,Drip,1132,52.5,Coconut,Cocoa,216396,Rabi,3,Pepper,1,193.5,16.8,196.6,6.42,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.38
2014,Davangere,103,3296,27,Sandy Loam,Drip,1132,52.5,Coconut,Banana,216396,Rabi,3,Pepper,1,162.3,19.2,212.5,7,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.97
2014,Davangere,103,3296,27,Sandy Loam,Drip,1132,52.5,Coconut,Ginger,216396,Rabi,3,Cocoa,2,199.9,17.3,210.8,6.96,MOP (Muriate of Potash),7.28
2014,Davangere,103,3296,27,Sandy Loam,Drip,1132,52.5,Coconut,Cardamum,216396,Rabi,3,Coffee,2,194,15.5,198,6.3,MOP (Muriate of Potash),6.98
2015,Davangere,8239,3550,27,Sandy Loam,Drip,23960,56,Coconut,Pepper,2644,Rabi,3,Paddy,1,198.2,17.6,189.1,6.74,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.14
2015,Davangere,8239,3550,27,Sandy Loam,Drip,23960,56,Coconut,Cocoa,2644,Rabi,3,Blackgram,1,184.7,16.1,184.5,6.74,FYM (Farm Yard Manure) + MOP (Muriate of Potash),6.15
2015,Davangere,8239,3550,27,Sandy Loam,Drip,23960,56,Coconut,Banana,2644,Rabi,3,Coffee,2,180.8,18.6,200.8,6.88,MOP (Muriate of Potash),7.08
2015,Davangere,8239,3550,27,Sandy Loam,Drip,23960,56,Coconut,Ginger,2644,Rabi,3,Cardamum,2,182.1,17.4,215.1,6.52,MOP (Muriate of Potash),7.14
2015,Davangere,8239,3550,27,Sandy Loam,Drip,23960,56,Coconut,Cardamum,2644,Rabi,3,Blackgram,1,165.4,14.2,210.2,6.7,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.67
2016,Davangere,44563,3550,27,Sandy Loam,Drip,126487,57,Coconut,Pepper,44235,Rabi,3,Arecanut,1,188.2,15.3,185.5,6.21,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.82
2016,Davangere,44563,3550,27,Sandy Loam,Drip,126487,57,Coconut,Cocoa,44235,Rabi,3,Cocoa,2,174,17.5,195.7,6.55,MOP (Muriate of Potash),7.23
2016,Davangere,44563,3550,27,Sandy Loam,Drip,126487,57,Coconut,Banana,44235,Rabi,3,Ginger,2,196.2,16.1,200.6,6.83,MOP (Muriate of Potash),7.07
2016,Davangere,44563,3550,27,Sandy Loam,Drip,126487,57,Coconut,Ginger,44235,Rabi,3,Cocoa,2,175.9,17.7,214.5,6.96,MOP (Muriate of Potash),7.1
2016,Davangere,44563,3550,27,Sandy Loam,Drip,126487,57,Coconut,Cardamum,44235,Rabi,3,Paddy,1,165.9,19.6,199.7,6.41,FYM (Farm Yard Manure) + MOP (Muriate of Potash),5.92
